State,Abbr,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Alabama,AL,2,0,0,0,0,0,1,6,2,3,
Alaska,AK,0,0,2,0,1,0,0,0,0,0,
Arizona,AZ,2,0,3,0,2,1,3,0,3,2,
Arkansas,AR,0,0,1,1,1,2,0,2,3,1,
California,CA,2,5,5,2,6,2,5,6,2,5,
Colorado,CO,1,0,0,2,2,1,2,0,0,2,
Connecticut,CT,0,0,0,0,0,0,1,0,0,0,
Delaware,DE,0,0,0,0,0,2,0,0,0,1,
District of Columbia,DC,0,0,0,0,0,0,0,0,0,2,
Florida,FL,2,2,4,1,0,3,4,0,2,7,
Georgia,GA,1,0,2,1,7,1,5,3,0,7,
Hawaii,HI,0,0,0,0,0,0,1,0,2,0,
Idaho,ID,0,0,0,1,0,0,0,0,0,0,
Illinois,IL,0,1,0,1,0,2,2,3,0,5,
Indiana,IN,0,1,3,0,1,1,2,0,1,1,
Iowa,IA,0,1,0,0,2,1,0,0,0,1,
Kansas,KS,2,0,1,0,2,0,3,0,1,0,
Kentucky,KY,1,1,0,2,0,0,2,0,0,1,
Louisiana,LA,2,1,1,6,4,4,1,1,2,4,
Maine,ME,0,0,0,0,0,0,1,0,0,0,
Maryland,MD,0,1,0,0,2,1,2,1,0,1,
Massachusetts,MA,1,1,0,0,1,0,2,0,0,0,
Michigan,MI,1,1,0,0,2,2,1,1,2,1,
Minnesota,MN,1,0,1,1,0,0,0,0,0,1,
Mississippi,MS,1,2,0,2,1,1,2,2,1,1,
Missouri,MO,1,0,1,0,2,1,1,1,2,1,
Montana,MT,0,0,1,0,0,1,0,0,0,0,
Nebraska,NE,0,0,0,1,0,0,0,0,1,0,
Nevada,NV,1,0,2,1,0,1,0,0,1,1,
New Hampshire,NH,1,0,1,0,0,0,0,0,0,0,
New Jersey,NJ,0,0,1,0,0,0,0,1,0,0,
New Mexico,NM,0,0,0,3,2,0,0,0,0,1,
New York,NY,2,1,5,2,1,2,1,0,0,0,
North Carolina,NC,3,0,2,0,1,0,1,1,3,3,
North Dakota,ND,0,0,0,0,1,1,0,0,1,0,
Ohio,OH,1,0,1,1,2,2,2,2,3,2,
Oklahoma,OK,0,0,0,0,0,2,1,0,1,1,
Oregon,OR,0,0,0,0,1,0,0,0,0,1,
Pennsylvania,PA,2,0,1,2,2,1,0,0,1,0,
Rhode Island,RI,0,0,0,0,0,0,0,0,0,0,
South Carolina,SC,1,0,1,1,1,0,3,0,3,0,
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,
Tennessee,TN,1,0,0,1,3,0,1,1,0,1,
Texas,TX,5,6,5,4,8,7,3,8,5,8,
Utah,UT,1,1,1,0,2,0,1,1,1,0,
Vermont,VT,0,0,0,0,0,0,0,0,0,0,
Virginia,VA,0,1,1,0,2,1,0,2,1,3,
Washington,WA,2,0,0,0,1,0,1,2,1,1,
West Virginia,WV,3,1,0,0,0,0,0,0,1,0,
Wisconsin,WI,0,0,1,1,1,1,1,2,0,0,
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,
